medical_supply,Ace Healthcare Shop,Coxwell Avenue,
convenience,Lucky Spot,Danforth Avenue,
convenience,Carlaw Coffee & Convenience,Carlaw Avenue,
convenience,Everything Store,Pape Avenue,
car,SSR Auto Sales & Services,Pape Avenue,
convenience,Daisy Mart,St Clair Avenue East,
convenience,Dollar Variety Smoke & Gift,St Clair Avenue East,
cleaners,Norton Cleaners,St Clair Avenue East,
clothes,Fantasy Fashion Boutique Lingerie & Intimate Apparel,St Clair Avenue East,
florist,Say it with a Rose,St Clair Avenue East,
funeral_directors,Rosar Morrison Funeral Home & Chapel,Sherbourne Street,
convenience,Sam's Food Store,Sherbourne Street,
furniture,EQ3 Toronto King - Modern Furniture,King Street East,
supermarket,Rabba,Front Street East,
convenience,Time Square Convenience,Front Street East,
alcohol,LCBO,Front Street East,
vacant,Starbucks,Front Street East,
convenience,International News,Front Street East,
cannabis,Canna Cabana,Front Street East,
shoes,Mila's Fine Footwear,Front Street East,
supermarket,FreshCo,Lawrence Avenue East,
bicycle,Urbane Cyclist,College Street,
supermarket,Bestco Food Mart,Martin Grove Road,
vacant,Esso,Lake Shore Boulevard West,
optician,Public Optical,Lawrence Avenue East,
dry_cleaning,Dunn Cleaners,Dunn Avenue,
craft,Michaels,Warden Avenue,
supermarket,Loblaws,Bayview Avenue,
hairdresser,Goa Hair Salon,Bloor Street West,
pet,Bark & Meow Pet Supplies,Bloor Street West,
clothes,Nué,Bloor Street West,
supermarket,Bloor Meat & Grocery,Bloor Street West,
clothes,Risque Clothing,Bloor Street West,
gift,Gloria Fashion & Gifts,Bloor Street West,
books,Doug Miller Books,Bloor Street West,
health_food,Magic Health Food,Bloor Street West,
toys,Just You Sarah & Tom,Bloor Street West,
hairdresser,Lotte Beauty Salon/Lotte Hair Salon,Bloor Street West,
yes,Kimkor,Bloor Street West,
laundry;dry_cleaning,Bloor Laundromat Dry Cleaners,Bloor Street West,
supermarket,Village Market,Bloor Street West,
supermarket,Food Depot Supermarket,Sheppard Avenue East,
convenience,Super Stop,Thorncliffe Park Drive,
convenience,Super Stop,Don Mills Road,
convenience,Circle K,Don Mills Road,
books,Indigo,Yonge Street,
variety_store,Price War,Bloor Street West,
electronics,Apple Store,Yonge Street,
vacant,Old Navy,Yonge Street,
fitness_equipment,Fitness Depot,Bartley Drive,
supermarket,Loblaws,Yonge Street,
supermarket,H Mart,Yonge Street,
dry_cleaning,Nymark Cleaners,Leslie Street,
vacant,California Sandwiches,York Mills Road,
convenience,Wise Mart,Yonge Street,
gift,Write Impressions,Bayview Avenue,
alcohol,LCBO,Bayview Avenue,
supermarket,Metro,Yonge Street,
vacant,Mountain Coffee,Eglinton Avenue East,
photo,Henry's,Church Street,
interior_decoration,Kiondo African Imports Inc,Queen Street East,
vacant,Watson's Auto Centre,Queen Street East,
vacant,Dot Com Car Sales,Queen Street East,
car_repair,Fix Auto Collision,Queen Street East,
car_repair,Centre Honda Body Shop,Queen Street East,
photo,Downtown Camera,Queen Street East,
clothes,Urban Outfitters,Yonge Street,
clothes,Air Jordan,Yonge Street,
clothes,Boathouse,Yonge Street,
vacant,R. Hiscott Beauty & Theatrical Supplies,Yonge Street,
mobile_phone,Bell,Yonge Street,
cosmetics,Lush,Queen Street West,
clothes,Old Navy,Dufferin Street,
clothes,Old Navy,Lebovic Avenue,
department_store,Marshalls,Warden Avenue,
optician,Optical Trust,Warden Avenue,
hairdresser,First Choice Haircutters,Warden Avenue,
variety_store,Dollarama,Lebovic Avenue,
catering,Sayona Foods "Just Vegetarian",Claireville Drive,
optician,Hakim Optical Factory Outlet,Finch Avenue West,
car,Dufferin/Finch Auto Sales,Dufferin Street,
bakery,Papa Mio’s,Manning Avenue,
houseware,Urbinz Home Goods Store,Front Street East,
optician,The Optic Zone,Jarvis Street,
wine,Wine Rack,King Street East,
florist,Edible Arrangements,Adelaide Street East,
convenience,French Quarter Convenience & Grocery,Lombard Street,
beauty,Classic Nails & Spa,Dundas Street East,
